ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
121,Dermatology,21+ years,Community clinic,Spain,Yes,CME,Frequently,Yes,6-10,,Somewhat effective,2-4 weeks,Unsure,Yes: Dizziness,Lack of training,Likely,"Abrocitinib, Upadacitinib, Dupilumab",1,5,,1,2,"Patient demand, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Asthma,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
122,Dermatology,11-20 years,Hospital-based,Spain,Yes,Peer recommendation,Frequently,Yes,6-10,,Unsure,Unsure,Comparable,,Limited clinical data,Very likely,Upadacitinib,3,1,1,3,3,"Patient demand, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"None, Food Allergies","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
123,Allergy/Immunology,21+ years,Community clinic,Germany,No,,,Yes,6-10,,Unsure,Unsure,Comparable,,Limited clinical data,Likely,"Ruxolitinib Cream, Dupilumab",5,2,3,2,3,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Food Allergies, Asthma","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of topical therapies,Great potential
124,Allergy/Immunology,6-10 years,Hospital-based,Italy,Yes,Other: Online research,Frequently,Yes,1-5,,Somewhat effective,2-4 weeks,Superior,Yes: Mild headache,Lack of training,Likely,"Ruxolitinib Cream, Abrocitinib, Dupilumab",5,1,5,3,5,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Food Allergies,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
125,General Practice,21+ years,Community clinic,Italy,No,,,Yes,6-10,,Somewhat effective,Unsure,Unsure,Yes: Dizziness,Lack of training,Unlikely,"Upadacitinib, Ruxolitinib Cream",,2,1,2,2,"Cost, Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Allergic Rhinitis, Psoriasis",Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
126,Allergy/Immunology,0-5 years,Hospital-based,Germany,Yes,Other: Online research,Occasionally,Yes,1-5,,Very effective,More than 4 weeks,Inferior,Yes: Dizziness,Side effect concerns,Very unlikely,"Ruxolitinib Cream, Upadacitinib",2,3,5,4,5,"Safety profile, Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Asthma,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
127,Allergy/Immunology,6-10 years,Community clinic,Spain,Yes,Pharmaceutical representative,Occasionally,No,,Lack of familiarity,Effective,No noticeable response,Unsure,Yes: Nausea,,Neutral,"Dupilumab, Ruxolitinib Cream, Tralokinumab",5,1,2,5,1,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Psoriasis, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of systemic therapies,Waiting for more data
128,Allergy/Immunology,6-10 years,Hospital-based,Italy,Yes,Pharmaceutical representative,Rarely,No,,Insufficient clinical evidence,Effective,<2 weeks,Comparable,,Side effect concerns,Very likely,"Ruxolitinib Cream, Tralokinumab",4,3,2,5,5,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Allergic Rhinitis, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
129,Pediatrics,11-20 years,Community clinic,Italy,Yes,Pharmaceutical representative,Rarely,Yes,11-20,,Not effective,2-4 weeks,Inferior,Yes: Mild headache,Side effect concerns,Very likely,Abrocitinib,2,5,2,5,4,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, None",Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,Limited evidence available
130,Pediatrics,0-5 years,Academic/Research institution,Spain,Yes,,,Yes,More than 20,,Not effective,More than 4 weeks,Inferior,Yes: Dizziness,Cost issues,Likely,"Tralokinumab, Dupilumab, Ruxolitinib Cream",5,3,1,3,1,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Food Allergies,Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,Waiting for more data
131,General Practice,11-20 years,Hospital-based,Germany,No,,,No,,Cost issues,Very effective,Unsure,Unsure,,,Very unlikely,Abrocitinib,3,1,1,2,3,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"None, Allergic Rhinitis",Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,Limited evidence available
132,Allergy/Immunology,0-5 years,Private practice,Germany,No,,,No,,Lack of familiarity,Unsure,More than 4 weeks,Superior,Yes: Nausea,Lack of training,Neutral,"Tralokinumab, Dupilumab",5,3,5,3,3,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,None,Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
133,Allergy/Immunology,21+ years,Community clinic,Italy,Yes,,,Yes,More than 20,,Effective,More than 4 weeks,Unsure,,Lack of training,Likely,"Dupilumab, Ruxolitinib Cream, Upadacitinib",4,5,3,2,2,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,"Allergic Rhinitis, None","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
134,General Practice,21+ years,Hospital-based,Germany,Yes,,,Yes,11-20,,Unsure,More than 4 weeks,Unsure,Yes: Mild headache,Lack of training,Very unlikely,"Abrocitinib, Tralokinumab, Dupilumab",3,4,5,1,2,"Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Food Allergies, None",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
135,General Practice,0-5 years,Private practice,Spain,No,,,Yes,1-5,,Unsure,More than 4 weeks,Inferior,Yes: Mild headache,Lack of training,Very likely,Tralokinumab,2,3,,4,2,"Clinical efficacy, Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Psoriasis, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
136,General Practice,21+ years,Private practice,Germany,Yes,Online webinar,Occasionally,Yes,1-5,,Very effective,2-4 weeks,Superior,Yes: Nausea,Limited clinical data,Likely,Upadacitinib,3,3,4,3,5,"Patient demand, Peer recommendations, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Food Allergies, Asthma",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
137,Dermatology,21+ years,Community clinic,France,No,,,Yes,1-5,,Somewhat effective,<2 weeks,Unsure,Yes: Dizziness,Limited clinical data,Very likely,"Tralokinumab, Dupilumab, Ruxolitinib Cream",5,,4,5,4,"Patient demand, Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,None,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,Waiting for more data
138,General Practice,6-10 years,Private practice,France,No,,,Yes,1-5,,Effective,<2 weeks,Superior,Yes: Nausea,,Unlikely,"Dupilumab, Ruxolitinib Cream",,3,2,,5,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,None,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Biologic,After failure of systemic therapies,Great potential
139,Allergy/Immunology,6-10 years,Community clinic,Italy,Yes,Professional conference,Rarely,Yes,6-10,,Not effective,More than 4 weeks,Unsure,Yes: Dizziness,Lack of training,Unlikely,"Tralokinumab, Abrocitinib",5,1,1,2,5,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"None, Asthma","Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Waiting for more data
140,Allergy/Immunology,11-20 years,Community clinic,Spain,Yes,,,Yes,1-5,,Not effective,Unsure,Unsure,Yes: Nausea,Side effect concerns,Likely,Dupilumab,3,5,5,,2,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Psoriasis, Food Allergies","Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
141,Allergy/Immunology,11-20 years,Hospital-based,Italy,Yes,CME,Occasionally,Yes,11-20,,Very effective,2-4 weeks,Comparable,Yes: Mild headache,Cost issues,Very unlikely,"Upadacitinib, Tralokinumab",5,2,5,3,5,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Allergic Rhinitis,Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
142,General Practice,6-10 years,Hospital-based,Spain,Yes,Medical journal/literature,Occasionally,Yes,More than 20,,Effective,Unsure,Inferior,Yes: Mild headache,Limited clinical data,Very likely,Tralokinumab,,2,1,4,1,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Allergic Rhinitis, Psoriasis",Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
143,General Practice,6-10 years,Academic/Research institution,Spain,No,,,No,,Insufficient clinical evidence,Very effective,2-4 weeks,Comparable,Yes: Mild headache,Limited clinical data,Likely,"Abrocitinib, Upadacitinib",2,2,1,5,,"Safety profile, Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Psoriasis,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
144,Dermatology,21+ years,Private practice,France,Yes,,,Yes,More than 20,,Unsure,<2 weeks,Inferior,,Cost issues,Likely,Upadacitinib,3,1,,4,1,"Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,None,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Limited evidence available
145,General Practice,0-5 years,Academic/Research institution,Spain,Yes,,,Yes,More than 20,,Very effective,More than 4 weeks,Superior,Yes: Mild headache,Lack of training,Likely,"Ruxolitinib Cream, Upadacitinib, Abrocitinib",4,4,4,5,,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Psoriasis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of systemic therapies,Limited evidence available
146,General Practice,11-20 years,Private practice,Germany,Yes,Other: Online research,Rarely,Yes,6-10,,Unsure,<2 weeks,Comparable,Yes: Nausea,,Unlikely,"Dupilumab, Ruxolitinib Cream",5,4,2,5,1,"Safety profile, Clinical efficacy, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,None,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
147,Allergy/Immunology,6-10 years,Hospital-based,Italy,Yes,Professional conference,Frequently,Yes,More than 20,,Very effective,2-4 weeks,Unsure,Yes: Mild headache,Lack of training,Very unlikely,"Ruxolitinib Cream, Tralokinumab, Upadacitinib",5,2,4,1,1,"Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Asthma, Allergic Rhinitis","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of systemic therapies,Waiting for more data
148,General Practice,6-10 years,Private practice,Italy,No,,,Yes,6-10,,Somewhat effective,No noticeable response,Comparable,Yes: Dizziness,Limited clinical data,Likely,"Ruxolitinib Cream, Tralokinumab",3,,1,3,5,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Psoriasis, Food Allergies","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Limited evidence available
149,Dermatology,0-5 years,Hospital-based,Germany,Yes,Professional conference,Occasionally,Yes,6-10,,Somewhat effective,No noticeable response,Superior,,Lack of training,Unlikely,"Upadacitinib, Tralokinumab",1,4,3,5,4,"Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Asthma,Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
150,Pediatrics,21+ years,Community clinic,Spain,Yes,,,Yes,More than 20,,Not effective,Unsure,Inferior,Yes: Nausea,Side effect concerns,Very likely,"Tralokinumab, Upadacitinib",4,5,2,4,,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"None, Psoriasis",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Waiting for more data
151,Pediatrics,11-20 years,Community clinic,Germany,Yes,Online webinar,Occasionally,Yes,1-5,,Effective,More than 4 weeks,Unsure,Yes: Dizziness,Limited clinical data,Very unlikely,Abrocitinib,4,3,4,3,3,"Clinical efficacy, Peer recommendations, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"None, Psoriasis",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
152,Pediatrics,6-10 years,Community clinic,Spain,Yes,,,Yes,6-10,,Very effective,2-4 weeks,Comparable,Yes: Nausea,Cost issues,Very unlikely,"Upadacitinib, Abrocitinib, Tralokinumab",2,4,2,2,3,"Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Allergic Rhinitis,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Waiting for more data
153,Allergy/Immunology,6-10 years,Academic/Research institution,Germany,Yes,,,Yes,1-5,,Not effective,Unsure,Superior,Yes: Nausea,Limited clinical data,Likely,Upadacitinib,4,2,2,1,,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Food Allergies,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
154,Allergy/Immunology,11-20 years,Hospital-based,France,Yes,Medical journal/literature,Frequently,No,,Lack of familiarity,Somewhat effective,More than 4 weeks,Unsure,Yes: Nausea,Lack of training,Very likely,"Abrocitinib, Ruxolitinib Cream, Upadacitinib",,5,3,,1,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Asthma, None",Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,High patient satisfaction
155,Pediatrics,11-20 years,Community clinic,France,Yes,,,Yes,1-5,,Effective,<2 weeks,Superior,Yes: Nausea,Side effect concerns,Very unlikely,Abrocitinib,1,4,4,4,4,"Clinical efficacy, Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Allergic Rhinitis, None",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
156,Dermatology,11-20 years,Academic/Research institution,France,Yes,Pharmaceutical representative,Frequently,No,,Lack of familiarity,Somewhat effective,2-4 weeks,Superior,,Side effect concerns,Very unlikely,"Ruxolitinib Cream, Tralokinumab, Dupilumab",3,3,5,4,4,"Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Allergic Rhinitis, Food Allergies",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Limited evidence available
157,Dermatology,6-10 years,Hospital-based,Germany,Yes,Online webinar,Rarely,Yes,6-10,,Not effective,2-4 weeks,Unsure,,Cost issues,Very unlikely,"Dupilumab, Upadacitinib, Tralokinumab",2,3,,2,3,"Patient demand, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Food Allergies,Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
158,General Practice,11-20 years,Community clinic,Germany,Yes,Pharmaceutical representative,Rarely,Yes,6-10,,Somewhat effective,2-4 weeks,Comparable,Yes: Dizziness,Side effect concerns,Very likely,Abrocitinib,1,1,5,3,1,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Allergic Rhinitis,Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
159,Dermatology,0-5 years,Hospital-based,France,Yes,,,Yes,6-10,,Very effective,<2 weeks,Unsure,Yes: Mild headache,Cost issues,Very unlikely,"Upadacitinib, Tralokinumab, Abrocitinib",1,,,2,2,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Food Allergies, Allergic Rhinitis",Patients who failed systemic therapies,Topical -> Systemic,After failure of topical therapies,Waiting for more data
160,General Practice,6-10 years,Private practice,Germany,Yes,,,Yes,1-5,,Not effective,More than 4 weeks,Comparable,Yes: Dizziness,Lack of training,Unlikely,"Abrocitinib, Ruxolitinib Cream, Upadacitinib",2,5,2,3,4,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Food Allergies, None",Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,Waiting for more data
161,Pediatrics,6-10 years,Private practice,Italy,Yes,CME,Rarely,Yes,1-5,,Somewhat effective,Unsure,Inferior,,Lack of training,Neutral,"Dupilumab, Tralokinumab",4,1,3,5,5,"Clinical efficacy, Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Psoriasis,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
162,Allergy/Immunology,21+ years,Hospital-based,France,No,,,Yes,1-5,,Unsure,2-4 weeks,Superior,,Lack of training,Unlikely,"Dupilumab, Abrocitinib, Tralokinumab",5,3,3,3,3,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Asthma,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,Waiting for more data
163,Dermatology,11-20 years,Private practice,Italy,No,,,Yes,1-5,,Unsure,2-4 weeks,Unsure,Yes: Nausea,Lack of training,Likely,"Dupilumab, Abrocitinib",3,3,4,,2,"Cost, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Psoriasis,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
164,Allergy/Immunology,6-10 years,Private practice,Spain,Yes,,,Yes,More than 20,,Unsure,<2 weeks,Unsure,Yes: Mild headache,Lack of training,Likely,Ruxolitinib Cream,3,,2,1,5,"Patient demand, Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,None,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of systemic therapies,Waiting for more data
165,Allergy/Immunology,21+ years,Community clinic,France,Yes,,,Yes,1-5,,Effective,2-4 weeks,Inferior,Yes: Nausea,Lack of training,Unlikely,"Abrocitinib, Ruxolitinib Cream, Dupilumab",4,,,3,2,"Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Food Allergies,Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Waiting for more data
166,Allergy/Immunology,6-10 years,Private practice,Spain,Yes,Other: Online research,Rarely,No,,Lack of familiarity,Effective,Unsure,Unsure,Yes: Mild headache,Side effect concerns,Neutral,"Upadacitinib, Tralokinumab",4,5,4,2,3,"Cost, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Psoriasis,Patients with severe symptoms,Topical -> Systemic,After failure of topical therapies,Waiting for more data
167,Allergy/Immunology,6-10 years,Private practice,Italy,No,,,No,,Concerns about cost,Unsure,No noticeable response,Superior,Yes: Nausea,Lack of training,Unlikely,Ruxolitinib Cream,,1,2,2,5,"Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Allergic Rhinitis, Food Allergies",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
168,General Practice,11-20 years,Private practice,Germany,Yes,Other: Online research,Frequently,No,,Lack of familiarity,Unsure,More than 4 weeks,Comparable,Yes: Nausea,Limited clinical data,Very unlikely,Abrocitinib,5,,4,3,,"Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Food Allergies, None",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Waiting for more data
169,Pediatrics,11-20 years,Private practice,Germany,Yes,,,Yes,1-5,,Somewhat effective,No noticeable response,Comparable,Yes: Nausea,Cost issues,Very likely,"Dupilumab, Tralokinumab",2,4,2,1,1,"Patient demand, Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"None, Allergic Rhinitis",Patients who failed systemic therapies,Topical -> Systemic,After failure of topical therapies,High patient satisfaction
170,General Practice,21+ years,Hospital-based,Spain,Yes,,,Yes,More than 20,,Effective,<2 weeks,Comparable,,Lack of training,Unlikely,"Upadacitinib, Dupilumab, Ruxolitinib Cream",3,2,3,,2,"Safety profile, Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Psoriasis,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of topical therapies,Great potential
171,Pediatrics,6-10 years,Community clinic,Germany,Yes,CME,Occasionally,No,,Concerns about cost,Effective,2-4 weeks,Superior,,Side effect concerns,Likely,"Dupilumab, Ruxolitinib Cream, Tralokinumab",4,1,5,2,3,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Allergic Rhinitis, Food Allergies",Patients who failed systemic therapies,Topical -> Biologic,After failure of systemic therapies,Limited evidence available
172,Dermatology,0-5 years,Community clinic,France,Yes,,,Yes,6-10,,Effective,<2 weeks,Superior,,Limited clinical data,Likely,Dupilumab,2,1,5,3,,"Clinical efficacy, Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Food Allergies, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
173,General Practice,6-10 years,Hospital-based,Spain,No,,,Yes,1-5,,Effective,<2 weeks,Unsure,Yes: Nausea,Lack of training,Unlikely,Dupilumab,4,4,5,4,1,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,"Food Allergies, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of topical therapies,Limited evidence available
174,General Practice,6-10 years,Hospital-based,France,Yes,Pharmaceutical representative,Frequently,Yes,11-20,,Not effective,<2 weeks,Inferior,Yes: Nausea,Limited clinical data,Unlikely,Abrocitinib,2,3,4,3,1,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,"Food Allergies, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
175,Dermatology,6-10 years,Hospital-based,Germany,Yes,Professional conference,Occasionally,No,,Preference for alternative treatments,Not effective,No noticeable response,Superior,,Limited clinical data,Very unlikely,"Upadacitinib, Ruxolitinib Cream, Tralokinumab",,3,1,5,,"Peer recommendations, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,"Food Allergies, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
176,General Practice,0-5 years,Community clinic,Germany,Yes,Online webinar,Frequently,Yes,1-5,,Effective,<2 weeks,Unsure,Yes: Dizziness,Lack of training,Very likely,"Tralokinumab, Dupilumab",1,3,2,2,4,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"None, Psoriasis","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
177,Pediatrics,21+ years,Private practice,Italy,Yes,Online webinar,Frequently,No,,Lack of familiarity,Not effective,Unsure,Inferior,,Side effect concerns,Unlikely,"Upadacitinib, Tralokinumab",5,,3,,1,"Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Food Allergies, Asthma","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
178,Allergy/Immunology,21+ years,Community clinic,France,No,,,No,,Concerns about cost,Very effective,More than 4 weeks,Superior,Yes: Nausea,Cost issues,Neutral,Upadacitinib,2,5,5,5,3,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Food Allergies,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
179,Dermatology,6-10 years,Hospital-based,Spain,Yes,Other: Online research,Rarely,No,,Concerns about cost,Very effective,More than 4 weeks,Inferior,,Cost issues,Neutral,Upadacitinib,1,5,5,1,4,"Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Asthma,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
180,Allergy/Immunology,0-5 years,Academic/Research institution,Italy,No,,,No,,Preference for alternative treatments,Somewhat effective,2-4 weeks,Unsure,Yes: Nausea,Limited clinical data,Likely,"Tralokinumab, Ruxolitinib Cream",1,,2,4,,"Clinical efficacy, Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Food Allergies, None",Patients who failed systemic therapies,Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
181,Allergy/Immunology,0-5 years,Private practice,Italy,Yes,,,Yes,1-5,,Not effective,2-4 weeks,Comparable,Yes: Mild headache,Cost issues,Unlikely,"Dupilumab, Upadacitinib, Ruxolitinib Cream",5,1,,,5,"Safety profile, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Food Allergies, Asthma",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of multiple systemic therapies,Waiting for more data
