ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
108,General Practice,21+ years,Community clinic,Germany,Yes,Medical journal/literature,Frequently,Yes,6-10,Lack of familiarity,Not effective,More than 4 weeks,Inferior,Yes: Mild headache,Cost issues,Likely,"Ruxolitinib Cream, Abrocitinib",4.0,4.0,2.0,2.0,2.0,"Cost, Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Asthma,Patients with severe symptoms,Topical -> Systemic,After failure of topical therapies,Waiting for more data
109,Pediatrics,6-10 years,Hospital-based,France,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Very effective,No noticeable response,Inferior,Yes: Mild headache,Side effect concerns,Unlikely,"Upadacitinib, Abrocitinib, Ruxolitinib Cream",4.0,5.0,1.0,4.0,2.0,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Psoriasis,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
110,General Practice,21+ years,Academic/Research institution,Germany,Yes,Medical journal/literature,Frequently,No,0,Preference for alternative treatments,Very effective,<2 weeks,Inferior,Yes: Mild headache,Lack of training,Very unlikely,Abrocitinib,4.0,5.0,2.0,5.0,2.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Food Allergies,Patients who failed topical corticosteroids,Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
111,Pediatrics,11-20 years,Hospital-based,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Unsure,No noticeable response,Inferior,Yes: Nausea,Side effect concerns,Unlikely,"Upadacitinib, Abrocitinib, Tralokinumab",3.0,4.0,5.0,5.0,3.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"None, Food Allergies","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
112,Dermatology,6-10 years,Academic/Research institution,France,Yes,Online webinar,Frequently,Yes,6-10,Lack of familiarity,Not effective,No noticeable response,Unsure,Yes: Mild headache,Limited clinical data,Very unlikely,"Tralokinumab, Dupilumab, Abrocitinib",1.0,1.0,4.0,4.0,4.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Food Allergies, Allergic Rhinitis","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
113,General Practice,6-10 years,Private practice,Italy,Yes,Medical journal/literature,Rarely,Yes,6-10,Lack of familiarity,Unsure,2-4 weeks,Inferior,Yes: Mild headache,Lack of training,Neutral,"Upadacitinib, Abrocitinib",3.0,4.0,5.0,4.0,3.0,"Safety profile, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Psoriasis, Asthma",Patients who failed systemic therapies,Topical -> Biologic,After failure of multiple systemic therapies,Waiting for more data
114,General Practice,6-10 years,Hospital-based,France,Yes,Pharmaceutical representative,Occasionally,Yes,11-20,Lack of familiarity,Very effective,More than 4 weeks,Unsure,Yes: Dizziness,Lack of training,Very unlikely,Dupilumab,4.0,5.0,5.0,4.0,1.0,"Peer recommendations, Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Asthma,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
115,Dermatology,0-5 years,Hospital-based,France,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Not effective,2-4 weeks,Comparable,Yes: Mild headache,Side effect concerns,Neutral,"Ruxolitinib Cream, Upadacitinib, Dupilumab",5.0,4.0,5.0,1.0,2.0,"Safety profile, Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,Food Allergies,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
116,Dermatology,21+ years,Academic/Research institution,Germany,Yes,Peer recommendation,Occasionally,Yes,1-5,Lack of familiarity,Somewhat effective,2-4 weeks,Comparable,Yes: Dizziness,Lack of training,Neutral,"Dupilumab, Ruxolitinib Cream, Upadacitinib",2.0,5.0,4.0,1.0,2.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Food Allergies, None",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
117,General Practice,21+ years,Hospital-based,Italy,Yes,Pharmaceutical representative,Occasionally,Yes,11-20,Lack of familiarity,Unsure,Unsure,Comparable,Yes: Nausea,Side effect concerns,Very likely,Ruxolitinib Cream,2.0,5.0,4.0,4.0,2.0,"Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"None, Asthma",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
118,General Practice,0-5 years,Hospital-based,France,Yes,Online webinar,Occasionally,Yes,11-20,Lack of familiarity,Not effective,<2 weeks,Unsure,Yes: Dizziness,Limited clinical data,Unlikely,"Abrocitinib, Upadacitinib, Dupilumab",3.0,5.0,5.0,3.0,4.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Asthma,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of topical therapies,Great potential
119,General Practice,6-10 years,Community clinic,Italy,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Unsure,No noticeable response,Unsure,Yes: Dizziness,Lack of training,Very likely,Ruxolitinib Cream,2.0,5.0,5.0,2.0,2.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,Asthma,Patients who failed topical corticosteroids,Topical -> Biologic,After failure of systemic therapies,Limited evidence available
120,Allergy/Immunology,6-10 years,Private practice,Germany,Yes,Other: Online research,Frequently,Yes,6-10,Lack of familiarity,Somewhat effective,No noticeable response,Inferior,Yes: Nausea,Lack of training,Likely,Ruxolitinib Cream,3.0,1.0,4.0,4.0,3.0,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Allergic Rhinitis, Food Allergies",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
121,Dermatology,21+ years,Community clinic,Spain,Yes,CME,Frequently,Yes,6-10,Lack of familiarity,Somewhat effective,2-4 weeks,Unsure,Yes: Dizziness,Lack of training,Likely,"Abrocitinib, Upadacitinib, Dupilumab",1.0,5.0,5.0,1.0,2.0,"Patient demand, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Asthma,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
122,Dermatology,11-20 years,Hospital-based,Spain,Yes,Peer recommendation,Frequently,Yes,6-10,Lack of familiarity,Unsure,Unsure,Comparable,Yes: Nausea,Limited clinical data,Very likely,Upadacitinib,3.0,1.0,1.0,3.0,3.0,"Patient demand, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"None, Food Allergies","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
123,Allergy/Immunology,21+ years,Community clinic,Germany,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Unsure,Unsure,Comparable,Yes: Nausea,Limited clinical data,Likely,"Ruxolitinib Cream, Dupilumab",5.0,2.0,3.0,2.0,3.0,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Food Allergies, Asthma","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of topical therapies,Great potential
124,Allergy/Immunology,6-10 years,Hospital-based,Italy,Yes,Other: Online research,Frequently,Yes,1-5,Lack of familiarity,Somewhat effective,2-4 weeks,Superior,Yes: Mild headache,Lack of training,Likely,"Ruxolitinib Cream, Abrocitinib, Dupilumab",5.0,1.0,5.0,3.0,5.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Food Allergies,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
125,General Practice,21+ years,Community clinic,Italy,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Somewhat effective,Unsure,Unsure,Yes: Dizziness,Lack of training,Unlikely,"Upadacitinib, Ruxolitinib Cream",4.0,2.0,1.0,2.0,2.0,"Cost, Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Allergic Rhinitis, Psoriasis",Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
126,Allergy/Immunology,0-5 years,Hospital-based,Germany,Yes,Other: Online research,Occasionally,Yes,1-5,Lack of familiarity,Very effective,More than 4 weeks,Inferior,Yes: Dizziness,Side effect concerns,Very unlikely,"Ruxolitinib Cream, Upadacitinib",2.0,3.0,5.0,4.0,5.0,"Safety profile, Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Asthma,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
127,Allergy/Immunology,6-10 years,Community clinic,Spain,Yes,Pharmaceutical representative,Occasionally,No,0,Lack of familiarity,Effective,No noticeable response,Unsure,Yes: Nausea,Lack of training,Neutral,"Dupilumab, Ruxolitinib Cream, Tralokinumab",5.0,1.0,2.0,5.0,1.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Psoriasis, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of systemic therapies,Waiting for more data
128,Allergy/Immunology,6-10 years,Hospital-based,Italy,Yes,Pharmaceutical representative,Rarely,No,0,Insufficient clinical evidence,Effective,<2 weeks,Comparable,Yes: Nausea,Side effect concerns,Very likely,"Ruxolitinib Cream, Tralokinumab",4.0,3.0,2.0,5.0,5.0,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Allergic Rhinitis, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
129,Pediatrics,11-20 years,Community clinic,Italy,Yes,Pharmaceutical representative,Rarely,Yes,11-20,Lack of familiarity,Not effective,2-4 weeks,Inferior,Yes: Mild headache,Side effect concerns,Very likely,Abrocitinib,2.0,5.0,2.0,5.0,4.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, None",Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,Limited evidence available
130,Pediatrics,0-5 years,Academic/Research institution,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Not effective,More than 4 weeks,Inferior,Yes: Dizziness,Cost issues,Likely,"Tralokinumab, Dupilumab, Ruxolitinib Cream",5.0,3.0,1.0,3.0,1.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Food Allergies,Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,Waiting for more data
131,General Practice,11-20 years,Hospital-based,Germany,No,Pharmaceutical representative,Occasionally,No,0,Cost issues,Very effective,Unsure,Unsure,Yes: Nausea,Lack of training,Very unlikely,Abrocitinib,3.0,1.0,1.0,2.0,3.0,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"None, Allergic Rhinitis",Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,Limited evidence available
132,Allergy/Immunology,0-5 years,Private practice,Germany,No,Pharmaceutical representative,Occasionally,No,0,Lack of familiarity,Unsure,More than 4 weeks,Superior,Yes: Nausea,Lack of training,Neutral,"Tralokinumab, Dupilumab",5.0,3.0,5.0,3.0,3.0,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Asthma,Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
133,Allergy/Immunology,21+ years,Community clinic,Italy,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Effective,More than 4 weeks,Unsure,Yes: Nausea,Lack of training,Likely,"Dupilumab, Ruxolitinib Cream, Upadacitinib",4.0,5.0,3.0,2.0,2.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,"Allergic Rhinitis, None","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
134,General Practice,21+ years,Hospital-based,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,11-20,Lack of familiarity,Unsure,More than 4 weeks,Unsure,Yes: Mild headache,Lack of training,Very unlikely,"Abrocitinib, Tralokinumab, Dupilumab",3.0,4.0,5.0,1.0,2.0,"Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Food Allergies, None",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
135,General Practice,0-5 years,Private practice,Spain,No,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Unsure,More than 4 weeks,Inferior,Yes: Mild headache,Lack of training,Very likely,Tralokinumab,2.0,3.0,5.0,4.0,2.0,"Clinical efficacy, Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Psoriasis, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
136,General Practice,21+ years,Private practice,Germany,Yes,Online webinar,Occasionally,Yes,1-5,Lack of familiarity,Very effective,2-4 weeks,Superior,Yes: Nausea,Limited clinical data,Likely,Upadacitinib,3.0,3.0,4.0,3.0,5.0,"Patient demand, Peer recommendations, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Food Allergies, Asthma",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
137,Dermatology,21+ years,Community clinic,France,No,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Somewhat effective,<2 weeks,Unsure,Yes: Dizziness,Limited clinical data,Very likely,"Tralokinumab, Dupilumab, Ruxolitinib Cream",5.0,5.0,4.0,5.0,4.0,"Patient demand, Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,Asthma,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,Waiting for more data
138,General Practice,6-10 years,Private practice,France,No,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Effective,<2 weeks,Superior,Yes: Nausea,Lack of training,Unlikely,"Dupilumab, Ruxolitinib Cream",4.0,3.0,2.0,5.0,5.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Asthma,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Biologic,After failure of systemic therapies,Great potential
139,Allergy/Immunology,6-10 years,Community clinic,Italy,Yes,Professional conference,Rarely,Yes,6-10,Lack of familiarity,Not effective,More than 4 weeks,Unsure,Yes: Dizziness,Lack of training,Unlikely,"Tralokinumab, Abrocitinib",5.0,1.0,1.0,2.0,5.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"None, Asthma","Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Waiting for more data
140,Allergy/Immunology,11-20 years,Community clinic,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Not effective,Unsure,Unsure,Yes: Nausea,Side effect concerns,Likely,Dupilumab,3.0,5.0,5.0,5.0,2.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Psoriasis, Food Allergies","Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
141,Allergy/Immunology,11-20 years,Hospital-based,Italy,Yes,CME,Occasionally,Yes,11-20,Lack of familiarity,Very effective,2-4 weeks,Comparable,Yes: Mild headache,Cost issues,Very unlikely,"Upadacitinib, Tralokinumab",5.0,2.0,5.0,3.0,5.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Allergic Rhinitis,Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
142,General Practice,6-10 years,Hospital-based,Spain,Yes,Medical journal/literature,Occasionally,Yes,More than 20,Lack of familiarity,Effective,Unsure,Inferior,Yes: Mild headache,Limited clinical data,Very likely,Tralokinumab,4.0,2.0,1.0,4.0,1.0,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Allergic Rhinitis, Psoriasis",Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
143,General Practice,6-10 years,Academic/Research institution,Spain,No,Pharmaceutical representative,Occasionally,No,0,Insufficient clinical evidence,Very effective,2-4 weeks,Comparable,Yes: Mild headache,Limited clinical data,Likely,"Abrocitinib, Upadacitinib",2.0,2.0,1.0,5.0,2.0,"Safety profile, Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Psoriasis,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
144,Dermatology,21+ years,Private practice,France,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Unsure,<2 weeks,Inferior,Yes: Nausea,Cost issues,Likely,Upadacitinib,3.0,1.0,5.0,4.0,1.0,"Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Limited evidence available
145,General Practice,0-5 years,Academic/Research institution,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Very effective,More than 4 weeks,Superior,Yes: Mild headache,Lack of training,Likely,"Ruxolitinib Cream, Upadacitinib, Abrocitinib",4.0,4.0,4.0,5.0,2.0,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Psoriasis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of systemic therapies,Limited evidence available
146,General Practice,11-20 years,Private practice,Germany,Yes,Other: Online research,Rarely,Yes,6-10,Lack of familiarity,Unsure,<2 weeks,Comparable,Yes: Nausea,Lack of training,Unlikely,"Dupilumab, Ruxolitinib Cream",5.0,4.0,2.0,5.0,1.0,"Safety profile, Clinical efficacy, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
147,Allergy/Immunology,6-10 years,Hospital-based,Italy,Yes,Professional conference,Frequently,Yes,More than 20,Lack of familiarity,Very effective,2-4 weeks,Unsure,Yes: Mild headache,Lack of training,Very unlikely,"Ruxolitinib Cream, Tralokinumab, Upadacitinib",5.0,2.0,4.0,1.0,1.0,"Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Asthma, Allergic Rhinitis","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of systemic therapies,Waiting for more data
148,General Practice,6-10 years,Private practice,Italy,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Somewhat effective,No noticeable response,Comparable,Yes: Dizziness,Limited clinical data,Likely,"Ruxolitinib Cream, Tralokinumab",3.0,5.0,1.0,3.0,5.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Psoriasis, Food Allergies","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Limited evidence available
149,Dermatology,0-5 years,Hospital-based,Germany,Yes,Professional conference,Occasionally,Yes,6-10,Lack of familiarity,Somewhat effective,No noticeable response,Superior,Yes: Nausea,Lack of training,Unlikely,"Upadacitinib, Tralokinumab",1.0,4.0,3.0,5.0,4.0,"Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Asthma,Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
150,Pediatrics,21+ years,Community clinic,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Not effective,Unsure,Inferior,Yes: Nausea,Side effect concerns,Very likely,"Tralokinumab, Upadacitinib",4.0,5.0,2.0,4.0,2.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"None, Psoriasis",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Waiting for more data
151,Pediatrics,11-20 years,Community clinic,Germany,Yes,Online webinar,Occasionally,Yes,1-5,Lack of familiarity,Effective,More than 4 weeks,Unsure,Yes: Dizziness,Limited clinical data,Very unlikely,Abrocitinib,4.0,3.0,4.0,3.0,3.0,"Clinical efficacy, Peer recommendations, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"None, Psoriasis",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
152,Pediatrics,6-10 years,Community clinic,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Very effective,2-4 weeks,Comparable,Yes: Nausea,Cost issues,Very unlikely,"Upadacitinib, Abrocitinib, Tralokinumab",2.0,4.0,2.0,2.0,3.0,"Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Allergic Rhinitis,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Waiting for more data
153,Allergy/Immunology,6-10 years,Academic/Research institution,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Not effective,Unsure,Superior,Yes: Nausea,Limited clinical data,Likely,Upadacitinib,4.0,2.0,2.0,1.0,2.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Food Allergies,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
154,Allergy/Immunology,11-20 years,Hospital-based,France,Yes,Medical journal/literature,Frequently,No,0,Lack of familiarity,Somewhat effective,More than 4 weeks,Unsure,Yes: Nausea,Lack of training,Very likely,"Abrocitinib, Ruxolitinib Cream, Upadacitinib",4.0,5.0,3.0,5.0,1.0,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Asthma, None",Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,High patient satisfaction
155,Pediatrics,11-20 years,Community clinic,France,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Effective,<2 weeks,Superior,Yes: Nausea,Side effect concerns,Very unlikely,Abrocitinib,1.0,4.0,4.0,4.0,4.0,"Clinical efficacy, Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Allergic Rhinitis, None",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
156,Dermatology,11-20 years,Academic/Research institution,France,Yes,Pharmaceutical representative,Frequently,No,0,Lack of familiarity,Somewhat effective,2-4 weeks,Superior,Yes: Nausea,Side effect concerns,Very unlikely,"Ruxolitinib Cream, Tralokinumab, Dupilumab",3.0,3.0,5.0,4.0,4.0,"Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Allergic Rhinitis, Food Allergies",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Limited evidence available
157,Dermatology,6-10 years,Hospital-based,Germany,Yes,Online webinar,Rarely,Yes,6-10,Lack of familiarity,Not effective,2-4 weeks,Unsure,Yes: Nausea,Cost issues,Very unlikely,"Dupilumab, Upadacitinib, Tralokinumab",2.0,3.0,5.0,2.0,3.0,"Patient demand, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Food Allergies,Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
158,General Practice,11-20 years,Community clinic,Germany,Yes,Pharmaceutical representative,Rarely,Yes,6-10,Lack of familiarity,Somewhat effective,2-4 weeks,Comparable,Yes: Dizziness,Side effect concerns,Very likely,Abrocitinib,1.0,1.0,5.0,3.0,1.0,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Allergic Rhinitis,Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
159,Dermatology,0-5 years,Hospital-based,France,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Very effective,<2 weeks,Unsure,Yes: Mild headache,Cost issues,Very unlikely,"Upadacitinib, Tralokinumab, Abrocitinib",1.0,5.0,5.0,2.0,2.0,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Food Allergies, Allergic Rhinitis",Patients who failed systemic therapies,Topical -> Systemic,After failure of topical therapies,Waiting for more data
160,General Practice,6-10 years,Private practice,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Not effective,More than 4 weeks,Comparable,Yes: Dizziness,Lack of training,Unlikely,"Abrocitinib, Ruxolitinib Cream, Upadacitinib",2.0,5.0,2.0,3.0,4.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Food Allergies, None",Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,Waiting for more data
161,Pediatrics,6-10 years,Private practice,Italy,Yes,CME,Rarely,Yes,1-5,Lack of familiarity,Somewhat effective,Unsure,Inferior,Yes: Nausea,Lack of training,Neutral,"Dupilumab, Tralokinumab",4.0,1.0,3.0,5.0,5.0,"Clinical efficacy, Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Psoriasis,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
